1	the	272831
2	and	149943
3	of	144458
4	to	110615
5	in	84170
6	a	82258
7	that	46932
8	for	42798
9	it	42167
10	he	40620
11	said	36773
12	i	36165
13	was	34346
14	is	34212
15	with	31067
16	his	29071
17	be	28849
18	not	26372
19	as	26356
20	s	25598
21	on	24581
22	but	21926
23	from	21663
24	at	21563
25	by	20919
26	you	19873
27	they	19319
28	mln	18623
29	had	18425
30	all	18020
31	this	17576
32	have	17165
33	which	16002
34	him	15703
35	will	15565
36	her	14598
37	vs	14529
38	are	14463
39	or	13779
40	were	13247
41	an	13194
42	one	12473
43	them	12435
44	dlrs	12417
45	she	12101
46	shall	11965
47	my	11885
48	their	11845
49	would	11433
50	me	10685
51	its	10551
52	there	10391
53	so	10327
54	pct	9810
55	when	9582
56	no	9480
57	we	9385
58	up	9220
59	unto	9026
60	if	8998
61	has	8954
62	year	8812
63	lord	8711
64	lt	8700
65	out	8663
66	cts	8361
67	more	8158
68	what	8130
69	been	7952
70	about	7224
71	who	7122
72	net	7080
73	now	6948
74	into	6909
75	man	6861
76	thou	6773
77	then	6722
78	could	6663
79	do	6534
80	than	6482
81	two	6451
82	u	6408
83	may	6082
84	your	6072
85	billion	5892
86	after	5814
87	other	5806
88	some	5796
89	also	5787
90	any	5626
91	thy	5621
92	god	5604
93	loss	5324
94	company	5271
95	over	5258
96	last	5252
97	very	5233
98	before	5231
99	first	5217
100	upon	5152
101	new	5142
102	time	5136
103	only	5094
104	like	4958
105	these	4880
106	made	4856
107	thee	4824
108	did	4816
109	can	4711
110	day	4706
111	ye	4685
112	down	4599
113	such	4547
114	come	4520
115	our	4469
116	against	4436
117	should	4291
118	shr	4182
119	little	4169
120	inc	4121
121	came	4101
122	good	4068
123	see	3997
124	house	3981
125	well	3963
126	even	3936
127	people	3865
128	because	3855
129	know	3839
130	bank	3827
131	how	3818
132	much	3737
133	say	3724
134	go	3713
135	must	3687
136	us	3682
137	oil	3669
138	great	3667
139	make	3641
140	men	3504
141	every	3481
142	three	3462
143	corp	3400
144	share	3355
145	am	3323
146	own	3316
147	most	3292
